symbol_index,normalized_pam4_symbol,pre_vga_ctle_output_v,adc_analog_input_v,adc_output_code_unsigned,adc_reconstructed_voltage_v,adc_total_conversion_error_v,clipped_low,clipped_high,clipped
4384,-1.0,-0.27857708068308484,-0.06032349146223619,22,-0.05937500000000001,0.0009484914622361756,False,False,False
4409,1.0,-0.19513992954616882,-0.042255887832033184,25,-0.040624999999999994,0.0016308878320331899,False,False,False
4435,1.0,0.06903799036381084,0.014949588142963712,34,0.015625,0.0006754118570362882,False,False,False
4461,-3.0,-0.2625524477855908,-0.056853493846469844,22,-0.05937500000000001,-0.0025215061535301675,False,False,False
4486,-3.0,-0.24359188260137649,-0.05274774512800185,23,-0.053125000000000006,-0.0003772548719981547,False,False,False
4512,-3.0,-0.37237971169954853,-0.08063565137640431,19,-0.078125,0.002510651376404313,False,False,False
4538,-1.0,0.005796570867115387,0.001255197995309861,32,0.003124999999999989,0.001869802004690128,False,False,False
4563,1.0,0.08231475254902315,0.017824557786417304,34,0.015625,-0.002199557786417304,False,False,False
4589,1.0,0.2858019857448948,0.06188798304834538,41,0.05937500000000001,-0.002512983048345366,False,False,False
4615,-3.0,-0.2756634890616972,-0.05969257804011889,22,-0.05937500000000001,0.00031757804011887936,False,False,False
4640,-1.0,0.010046807433516528,0.002175550483020273,32,0.003124999999999989,0.0009494495169797158,False,False,False
4666,-1.0,0.12165710320863522,0.026343808359005814,36,0.02812500000000001,0.0017811916409941966,False,False,False
4691,1.0,-0.0510097000779732,-0.011045715604455612,30,-0.009374999999999994,0.0016707156044556172,False,False,False
4717,-1.0,-0.04493223690932538,-0.009729692776349937,30,-0.009374999999999994,0.00035469277634994287,False,False,False
4743,-3.0,-0.21358411246419814,-0.046249818373826024,24,-0.046875,-0.0006251816261739762,False,False,False
4768,-1.0,0.06911751194061572,0.014966807862359467,34,0.015625,0.0006581921376405328,False,False,False
4794,3.0,0.3347010191428619,0.07247665178039225,43,0.07187500000000002,-0.0006016517803922317,False,False,False
4820,-3.0,-0.24357617426564865,-0.05274434362184121,23,-0.053125000000000006,-0.000380656378158796,False,False,False
4845,3.0,0.048731668378109494,0.010552427264077907,33,0.009374999999999994,-0.0011774272640779123,False,False,False
4871,3.0,0.16037729735597728,0.03472833624384107,37,0.03437499999999999,-0.000353336243841082,False,False,False
4897,1.0,0.06673082765522725,0.014449991731040763,34,0.015625,0.0011750082689592368,False,False,False
4922,-3.0,-0.4265875755352937,-0.09237390207263321,17,-0.09062500000000001,0.0017489020726332016,False,False,False
4948,-1.0,-0.0644141655910958,-0.01394833831467266,29,-0.015625,-0.0016766616853273394,False,False,False
4974,-1.0,-0.1828822355115489,-0.039601588707241606,25,-0.040624999999999994,-0.0010234112927583888,False,False,False
4999,-1.0,-0.198080771023042,-0.04289270197800292,25,-0.040624999999999994,0.0022677019780029256,False,False,False
5025,-1.0,0.02269344328156305,0.00491407164109618,32,0.003124999999999989,-0.0017890716410961915,False,False,False
5050,1.0,0.20078725325371688,0.04347876762753333,38,0.040624999999999994,-0.002853767627533338,False,False,False
5076,1.0,0.04982315294320917,0.010788778939824162,33,0.009374999999999994,-0.0014137789398241674,False,False,False
5102,-1.0,-0.256704558793554,-0.05558718334878557,23,-0.053125000000000006,0.0024621833487855627,False,False,False
5127,3.0,0.1543945767156129,0.033432829102388414,37,0.03437499999999999,0.0009421708976115745,False,False,False
5153,-1.0,-0.1850188371089428,-0.04006425156486991,25,-0.040624999999999994,-0.0005607484351300845,False,False,False
5179,-1.0,-0.21758677319993286,-0.047116560426425126,24,-0.046875,0.00024156042642512615,False,False,False
5204,-3.0,-0.20375951542125825,-0.04412238565615062,24,-0.046875,-0.00275261434384938,False,False,False
5230,3.0,0.28280123351072445,0.061238195738727526,41,0.05937500000000001,-0.0018631957387275147,False,False,False
5256,3.0,0.287354673772287,0.06222420440128028,41,0.05937500000000001,-0.002849204401280267,False,False,False
5281,-3.0,-0.32273366969743555,-0.06988522430069219,20,-0.071875,-0.0019897756993078053,False,False,False
5307,-3.0,-0.10233733724808718,-0.022160277775241297,28,-0.021875000000000006,0.00028527777524129175,False,False,False
5333,3.0,0.2550777960266039,0.055234921742616884,40,0.05312499999999998,-0.002109921742616906,False,False,False
5358,-3.0,-0.26619145163235536,-0.05764148910057718,22,-0.05937500000000001,-0.0017335108994228285,False,False,False
